"filename", "language", "Shell Script", "C++", "JavaScript", "HTML", "JSON", "TypeScript", "TypeScript JSX", "JSON with Comments", "XML", "Makefile", "Markdown", "CSS", "YAML", "comment", "blank", "total"
"c:\School Work\Year 2 Semester 2\COS 214 Notes\Project\COS-214-Project\.github\workflows\autoDocs.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 2, 6, 39
"c:\School Work\Year 2 Semester 2\COS 214 Notes\Project\COS-214-Project\.github\workflows\autoTests.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 9, 37
"c:\School Work\Year 2 Semester 2\COS 214 Notes\Project\COS-214-Project\CONTRIBUTING.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 16, 133
"c:\School Work\Year 2 Semester 2\COS 214 Notes\Project\COS-214-Project\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 194, 0, 0, 0, 15, 209
"c:\School Work\Year 2 Semester 2\COS 214 Notes\Project\COS-214-Project\makefiles\makefile", "Makefile", 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 11, 35
"c:\School Work\Year 2 Semester 2\COS 214 Notes\Project\COS-214-Project\scripts\build-and-run-app.sh", "Shell Script", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 17
"c:\School Work\Year 2 Semester 2\COS 214 Notes\Project\COS-214-Project\scripts\build-and-run-tests.sh", "Shell Script", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 17
"c:\School Work\Year 2 Semester 2\COS 214 Notes\Project\COS-214-Project\scripts\setup-build-and-run-app.sh", "Shell Script", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 21
"c:\School Work\Year 2 Semester 2\COS 214 Notes\Project\COS-214-Project\scripts\setup-build-and-run-tests.sh", "Shell Script", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 21
"c:\School Work\Year 2 Semester 2\COS 214 Notes\Project\COS-214-Project\scripts\ubuntu-set-me-up.sh", "Shell Script", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 11, 40
"c:\School Work\Year 2 Semester 2\COS 214 Notes\Project\COS-214-Project\src\App\Application.cpp", "C++", 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 24, 140
"c:\School Work\Year 2 Semester 2\COS 214 Notes\Project\COS-214-Project\src\App\Application.hpp", "C++", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 12, 87
